id,Formule,No Ele,Ele,BG,IM,Is BG Dir,Structure,a,b,c,alfa,beta,gamma,CA
mp-1747,K2Te,2,K-Te,2.141,False,False,Cubic,5.785813376347968,5.785813746283467,5.78581246,60.00000735417954,60.00000523911576,60.000008908742124,72126.33369519562
mp-1821,WSe2,2,Se-W,1.4465,False,False,Hexagonal,3.31993213,3.3199337136020297,13.7371873,90.0,90.0,120.00001535487395,324073.67817614117
mp-1958,SrTe,2,Sr-Te,1.7616,False,False,Cubic,4.745867863531458,4.745868853084878,4.74586757,59.99999432072269,59.999987376170736,59.99999434343697,62828.64608724197
mp-11022,ScAgO2,3,Ag-O-Sc,2.1264000000000003,False,False,Hexagonal,3.21142308,3.2114227772551334,12.40930025,90.0,90.0,120.00000311846819,14370.311005410525
mp-11147,Na5CuSO2,4,Cu-Na-O-S,1.5205,False,False,Tetragonal,4.577351,4.577351,8.207251,90.0,90.0,90.0,42921.30595675817
mp-11178,SrCeN2,3,Ce-N-Sr,1.2679999999999998,False,True,Trigonal,6.346300186823796,6.346300186823796,6.346299717150994,33.3273732888483,33.3273732888483,33.32737866140041,310580.772128098
mp-11327,Rb2Se,2,Rb-Se,1.7968,False,False,Cubic,5.697663815228138,5.697662829721191,5.69766304,59.99999877915432,60.00000450085169,60.000004245289006,52956.80485960386
mp-11739,KLaTe2,3,K-La-Te,1.7012999999999994,False,False,Trigonal,8.627448933573376,8.627448933573376,8.627449578336227,31.677380507113604,31.677380507113604,31.67738375142152,287475.6701352742
mp-11740,KNdTe2,3,K-Nd-Te,1.2648000000000001,False,False,Trigonal,8.622126007092225,8.622126007092225,8.622125640582775,31.08601397227456,31.08601397227456,31.086018972246315,328030.07589126733
mp-12442,KAuF6,3,Au-F-K,2.1117,False,False,Trigonal,4.980145581825592,4.9801447039879205,4.9801459937839585,98.65653604751489,98.65653229066258,98.65653833826316,32954.09362690449
mp-12444,SrCuSF,4,Cu-F-S-Sr,1.5126,False,True,Tetragonal,3.93943137,3.93943137,8.64701502,90.0,90.0,90.0,60383.31371940797
