Formule,Ele,BG,Structure,CA
MnBr2,Br-Mn,1.5962,5,5064.581333343645
Ca2IN,Ca-I-N,2.3485,4,40401.43602441806
Ca2AsI,As-Ca-I,1.5566,5,183287.39021016544
Na3ClO,Cl-Na-O,2.0299,1,50459.25903188639
K4Br2O,Br-K-O,0.9912,2,22284.67324877308
CsBr2F,Br-Cs-F,1.7763,2,128779.33553027592
YHSe,H-Se-Y,1.5072,4,95285.00033793224
YAgO2,Ag-O-Y,2.4154,4,9174.328960145252
BaZrN2,Ba-N-Zr,0.9972000000000004,2,161738.43822509967
Al2CdSe4,Al-Cd-Se,2.0047,2,62152.50405227053
Li2ZrN2,Li-N-Zr,1.5618999999999996,5,131380.10746702383
Pr2SO2,O-Pr-S,2.8599999999999994,5,4210.132524048283
NaErS2,Er-Na-S,2.3245,5,10459.92051843615
KTaO3,K-O-Ta,2.0995,1,14623.16284609314
NaNbO2,Na-Nb-O,1.3781,4,288854.3592331561
AlCuO2,Al-Cu-O,1.7978000000000005,5,38925.61264564922
K2UO4,K-O-U,1.9773,2,63751.66847176948
BaHgO2,Ba-Hg-O,2.2727,5,7526.851236489025
LiNbO2,Li-Nb-O,1.5794999999999997,4,179101.26336769355
PrSF,F-Pr-S,1.2541000000000002,2,28594.512425847865
DyTlS2,Dy-S-Tl,1.5281999999999996,5,22186.822424989376
ZrCoBi,Bi-Co-Zr,0.9771999999999998,1,854967.6178182124
BiTeBr,Bi-Br-Te,1.2364000000000002,5,328364.8986752837
KNO2,K-N-O,2.5157,6,4166.664545598492
CaHN,Ca-H-N,2.193,2,35565.406969751006
LiMgP,Li-Mg-P,1.5391000000000004,1,26838.867330251825
AgAsF6,Ag-As-F,1.6806,1,34853.31394893337
LiMgN,Li-Mg-N,2.2707,1,25087.883697611014
KCrS2,Cr-K-S,1.1644,5,310583.9219828948
NbCu3Se4,Cu-Nb-Se,1.3604000000000005,1,347010.4366580591
TaCu3Se4,Cu-Se-Ta,1.5980000000000003,1,246492.2524396186
KLiTe,K-Li-Te,2.4134,2,20327.664568423246
ZnGeP2,Ge-P-Zn,1.1782000000000004,2,331422.095255636
LiAlTe2,Al-Li-Te,2.4411,2,28863.765724129087
ZnSiP2,P-Si-Zn,1.3641000000000003,2,88200.938563931
Pr2SeO2,O-Pr-Se,2.1691000000000003,5,6142.996533926519
Gd2SO2,Gd-O-S,2.0194,5,10546.977500122544
NdCuO2,Cu-Nd-O,2.4115,5,26611.4689374925
Na2HgO2,Hg-Na-O,1.6474000000000002,2,36143.37149898956
BaTiO3,Ba-O-Ti,2.5087,5,10012.395070545836
NaInO2,In-Na-O,1.9142,5,39613.2458039494
KPrTe2,K-Pr-Te,1.2799999999999998,5,314133.4337782449
LaSF,F-La-S,1.488099999999999,2,22517.977293165768
Nd2TeO2,Nd-O-Te,1.3099999999999996,2,135859.01063801005
NaTaN2,N-Na-Ta,1.2764999999999995,5,342983.2542372014
LiInO2,In-Li-O,1.8143,2,24264.50780068476
Tl3VS4,S-Tl-V,1.9554,1,305744.844692952
Sm2SO2,O-S-Sm,2.9166000000000003,5,3845.704682691404
NbCu3S4,Cu-Nb-S,1.6574,1,197920.1737624481
NaCrS2,Cr-Na-S,0.9908999999999994,5,268774.29737357266
NaHoS2,Ho-Na-S,2.3055000000000003,5,11078.90798146888
NdSF,F-Nd-S,1.2363000000000004,2,29682.82933092912
AlAgS2,Ag-Al-S,1.8992,2,30561.72052394872
K2HgO2,Hg-K-O,2.0773,2,10816.693181468796
Al2CdS4,Al-Cd-S,2.7263,2,6829.102139150615
TiCoSb,Co-Sb-Ti,1.0431999999999997,1,703429.7849508929
CaHgO2,Ca-Hg-O,2.125,5,9108.555119447674
RbDyS2,Dy-Rb-S,2.3216,5,11993.885325467534
KAuS,Au-K-S,2.1003000000000003,3,15457.341791662124
